Label,Symbol,Symbol Type,Error Type,Suggested Fix
GPU1,reblue::gpu::CreateMovieVertexShader,Function,Linker error: undefined symbol,Define or implement the function in a .cpp file
GPU2,reblue::gpu::CreateMoviePixelShader,Function,Linker error: undefined symbol,Define or implement the function in a .cpp file
GPU3,reblue::gpu::CreateDevice,Function,Linker error: undefined symbol,Define the function to match signature used in imports.cpp
GPU4,reblue::gpu::SetRenderTarget,Function,Linker error: undefined symbol,Stub or implement function in appropriate GPU backend file
GPU5,reblue::gpu::DestructResource,Function,Linker error: undefined symbol,Stub or implement resource destruction logic
GPU6,reblue::gpu::SetStreamSource,Function,Linker error: undefined symbol,Implement for feeding vertex buffers
GPU7,reblue::gpu::SetViewport,Function,Linker error: undefined symbol,Set render area viewport logic in implementation
GPU8,reblue::gpu::Clear,Function,Linker error: undefined symbol,Stub with clear logic or dummy implementation
GPU9,Video::Present,Static Method,Linker error: undefined symbol,Ensure Video class is defined with static Present method
GPU10,reblue::gpu::SetResolution,Function,Linker error: undefined symbol,Implement resolution setting logic
GPU11,reblue::gpu::CreateSurface,Function,Linker error: undefined symbol,Stub to return dummy or simulated surface
GPU12,reblue::gpu::GetSurfaceDesc,Function,Linker error: undefined symbol,Populate GuestSurfaceDesc struct
GPU13,reblue::gpu::SetDepthStencilSurface,Function,Linker error: undefined symbol,Stub for setting depth buffer
GPU14,reblue::gpu::CreateTexture,Function,Linker error: undefined symbol,Stub or implement texture creation logic
GPU15,reblue::gpu::SetTexture,Function,Linker error: undefined symbol,Stub or map guest texture to host
GPU16,reblue::gpu::LockTextureRect,Function,Linker error: undefined symbol,Simulate or log lock logic
GPU17,reblue::gpu::UnlockTextureRect,Function,Linker error: undefined symbol,Simulate unlock logic
GPU18,reblue::gpu::SetScissorRect,Function,Linker error: undefined symbol,Apply render clipping region
GPU19,reblue::gpu::StretchRect,Function,Linker error: undefined symbol,Stub with dummy blit/stretch logic
GPU20,reblue::gpu::SetIndices,Function,Linker error: undefined symbol,Feed index buffer to GPU simulator
